sentence 1,sentence 2,score,predicted score,loss
Two dogs play,Two cats are playing.,0,1.6192814111709595,2.251004219055176
A race car speeds away while a man covers his ears.,The race car is on a track,1,1.13285231590271,1.5320613384246826
The dog is walking in the snow.,The snow is outside,2,1.0055137872695923,1.221832275390625
Three women and two men are standing at the foot of a large staircase holding stringed instruments and a clarinet.,Five people are standing by a staircase.,2,1.460108757019043,0.4187636375427246
A young woman with colorful clothes on.,She looks nice.,1,0.825853705406189,1.0511189699172974
Six men in airport standing on moving walkway,Six men are trying to get to their gate at the airport.,1,0.8695228695869446,0.2519170939922333
Three people on skis are standing behind a no skiing sign.,Three friends standing on top of a ski mountain.,1,0.8933144807815552,0.4632367491722107
"A group stands and watches two men, apparently dressed in some sort of costume, wrestle on the ground.",the people are relaxing in their livingrooms,0,1.412743091583252,1.867049217224121
Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.,The body of water is a lake.,1,1.0957683324813843,1.0112297534942627
A young woman skateboarding on an outdoor basketball court in front of a mural.,The young woman is riding a unicycle.,0,0.9475443363189697,0.7807486057281494
"There is one man with light blue jeans on, and one with dark blue jeans on that are walking down the street.",Two men are wearing jeans for a jean advertisement.,2,0.7348722815513611,3.336578130722046
A man wearing a white and blue shirt cooking corn on the cob while a different man buys a piece of corn.,A group of people are watching some ducks at the pond.,0,1.1006118059158325,1.2396464347839355
"A woman with dark hair wearing a dark shirt, jeans, and glasses is talking into a microphone.",The woman is addressing a crowd.,1,0.8303189873695374,1.8677444458007812
A woman in a tan dress is tending to her wares in the market.,The woman is selling pies.,1,0.9481561183929443,1.0949550867080688
There are two people walking in the sand.,Two people walk across the beach.,2,0.6541571021080017,2.177309036254883
A group of consumers walking through a public market to purchase vegetables with the background of the busy store just behind them.,Group of people being filmed purchasing vegetables for a market's advertisement.,1,0.8773633241653442,0.41834917664527893
Three workers bent over pulling grass.,Three workers bent over backwards,1,0.6044754385948181,1.132859468460083
"A group of men are sitting and standing a courtyard, some of them are reading books and some are talking.",A group of males are outside reading and singing.,1,1.1255707740783691,0.8727495074272156
Man in while shirt and blue jeans holding hands while walking with a little girl in a blue dress and yellow hat.,A man and girl walking together,2,1.5610697269439697,0.29085573554039
An older man in an apron cleaning.,A man is mopping the floor.,1,1.1242997646331787,1.8500947952270508
A brown dog wearing a collar is chasing and biting on a red broom.,There is an animal biting a broom.,2,1.2762038707733154,0.7647151947021484
A fisherman with his friend is setting up his pole.,Two brothers  fishing together for the first time in decades.,1,0.9492549896240234,0.7559413313865662
"A man wearing an oxford shirt, sunglasses, and a hat smirks.",A man hiding his true identity.,1,0.5216572880744934,1.4767937660217285
A busy street full of shops and people holding hands and walking.,Couples looking for places to shop.,1,0.9583762884140015,0.1570826768875122
A woman in a black and white shirt is sitting in a chair with an animated expression on her face.,A woman in a shirt is sitting in a chair with an animated expression on her face.,2,1.2043068408966064,1.021951675415039
"Several people are sitting down playing volleyball with a sign that reads ""WheelPower"" in the background.",twelve women play a game,1,1.0043909549713135,1.0847548246383667
"An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.",An old woman has no jacket.,0,0.8189151287078857,0.8494635224342346
"a boy wearing jean shorts, and a black and blue shirt, reading a book, sits on a rolling device up against a wall that says book fair, while other people stand around.",The boy plays a video game.,0,1.035933017730713,1.569340705871582
"Woman driving in a red convertible with another girl in the passenger seat and a guy in a suit in the backseat, driving past a group of people.",There are three people driving in a convertible past other people.,2,1.1189627647399902,1.1008577346801758
A brown and white dog is chained up near a red chair.,The dog is loose running around the yard.,0,0.3876306712627411,0.2903168499469757
A person sweeping stairs in a park.,A dog singing karaoke.,0,1.0666128396987915,0.9882898330688477
A person is posed with one leg raised and one arm out at a competition with their teammates in the background.,A man posed at a baseball game.,1,0.7931289076805115,1.8347928524017334
A black race car starts up in front of a crowd of people.,A car is running.,2,1.4882349967956543,0.4124734401702881
A person is surfing a big wave., A person is surfing.,2,1.5969691276550293,0.28587472438812256
"A man in a light brownish jacket, orange undershirt, blue jeans, and a black satchel, who has many sticks of cotton candy.",A man is holding fluffy sweets.,2,0.638526976108551,1.5065991878509521
"A young man, wearing a T-shirt that says Joplin, plays the guitar in front of a large amplifier.",The man is playing an acoustic guitar.,1,0.7347276210784912,0.9482446908950806
A man in a jacket wearing black boots walking on the truck of a fallen tree over a ravine.,A man stands in his room.,0,0.7931780219078064,0.6573334336280823
An olympian leaps over an obstacle.,An old woman sleeps in the kitchen.,0,0.4687004089355469,0.4356233775615692
A young male wearing a blue hat turned backwards and slightly sideways with a cigarette in his mouth.,A man wears his hat on his foot.,0,0.723404049873352,0.7395026683807373
Woman wearing jeans and white shirt watches as her bowling ball rolls down the lane to the pins.,A woman bowls.,2,1.0273494720458984,0.8131842613220215
Flaming are shooting from the rear of a race car.,Flames are shooting from the rear of a race car as it takes off.,1,0.8565608859062195,0.6215401291847229
Two girls playing catch on a lawn,Two girls are walking beside a pond with ducks and swans.,0,1.1275925636291504,1.2438238859176636
A female acrobat wearing a red and white striped shirt and blue pants performs on a pole.,A male pole dancer performs at a club.,0,0.5583100914955139,0.5167995691299438
"In an apparent classroom setting, a young man in a blue t-shirt has a book on his knee while a woman dressed in black next to him leans in to point out something in the book.",They are in college.,1,1.1195588111877441,0.697841227054596
A large display of artifacts are in a large room and around a very large display are six people with two people near wooden benches.,People stand in front of a display,2,1.2869824171066284,0.7454866170883179
A lady dances in a polka dot dress and a head of flowers with a fan clasped in her hand while others are looking in a different direction with two men holding onto a ladder and others discussing.,A woman dances while a group of people purposely ignore her.,1,0.6876518130302429,1.469852089881897
There are many people in a large room with a lot of furniture with tags on them.,"Treasure hunters flock to an estate sale, with a lot of antique furniture for sale.",1,0.847544252872467,0.2966434955596924
Two men at a fish market filled with boxes of fish and freshly cut fillets study a weight scale.,"Two men work in a butchers shop, selling steak.",0,0.9610884189605713,0.9902103543281555
A man dressed all in white throws the first pitch at a baseball game.,A Senator starts a baseball game.,1,1.594107747077942,2.33536434173584
The skier is doing a flip through some trees,The skier is winning a competition.,1,0.8854045867919922,0.4944205582141876
A girl is feeding a goat.,The goat is really a spy.,0,0.888694167137146,1.1141927242279053
A woman wearing a ball cap squats down to touch the cracked earth.,A squatting woman wearing a hat touching the ground.,2,1.0444083213806152,0.9104519486427307
A black and white bird with a yellow beak is flying.,Bird flying outside against the sky,1,0.9799875020980835,0.9802340269088745
People working together to build a shed.,people are doing nothing,0,1.1824828386306763,1.4136619567871094
A man standing up in a rowboat with a bird perched on the boat.,The man is a professional fisherman.,1,0.8193710446357727,1.071298360824585
A man wearing glasses and black clothing is sitting while a man in a vest drinks in the background.,A man is wearing glasses and white clothing.,0,1.1415035724639893,1.151700496673584
A woman in a green suit walking towards an escalator.,A woman sits beside the escalator.,0,1.2452480792999268,1.2737388610839844
Three Indian boys in shorts play with one another.,three girls painting their toenails.,0,0.6253452897071838,0.6410075426101685
A little kid is jumping off a brick balcony.,A small child is on a balcony and hops off it.,2,0.8194177150726318,1.457007884979248
The kid is wearing a blue jacket and standing in shallow beach water.,The kid is swimming in the deep ocean.,0,0.7820771932601929,1.2361364364624023
Chef's working in a kitchen.,"The chef is world-famous, and is trying out new recipes to possibly include in her next cookbook.",1,0.8042271137237549,0.6273455619812012
Young lady during a performance of modern dance.,The lady is asian.,1,1.4296901226043701,1.5918631553649902
A young boy giving his brother a piggyback ride,a boy is giving his brother a ride,2,1.5023632049560547,0.4756648540496826
A young girl wearing a red shirt and cap smiling and holding a small toy is standing in front of a group of children playing behind her.,The woman is frowning.,0,0.7502888441085815,0.7974527478218079
"A young redheaded girl, wearing a yellow shirt, black pants, and sneakers, jumping in a grassy field with blue skies and wispy clouds in the background.",A girl jumps in a grassy field,2,0.9349486827850342,1.0436652898788452
A woman is taking a picture of a girl on a scooter.,The girl is on a car.,0,0.3364410400390625,0.3122217655181885
"The soccer team, clad in blue for the match, began to counter down the field in front of the defender, clad in red.",A soccer team hangs out in the locker room.,0,0.5993697047233582,0.5641423463821411
Three people sitting on some stairs laughing.,There are three people.,2,0.7916144132614136,1.893769383430481
A woman with brown hair wearing a white shirt is standing in a doorway surrounded by baskets as a woman in a red shirt passes by.,The woman is blonde.,0,1.0929718017578125,1.2537463903427124
A man does a skating trick off of graffiti-filled stairs.,A man imitates a skating trick off of stairs.,0,1.0312564373016357,1.0483884811401367
Six men in airport standing on moving walkway,Six men are sitting on a park bench.,0,0.43965569138526917,0.3571154773235321
"A man wearing and Army shirt is on the ground in a push-up position, while a man in uniform squats beside him.",The man is fat.,1,0.7605687379837036,0.7826823592185974
"First Lady Laura Bush at podium, in front of seated audience, at the White House Conference on Global Literacy.",Laura Bush stands in front of a conference,2,0.9387308359146118,1.0080835819244385
A jockey in blue gallops a chestnut horse on a dirt track past a wooden fence.,A jockey races his horse,1,0.9253666400909424,0.7007339000701904
A black-haired woman with her hair in a high bun is having her head shaved by another woman.,Everybody is bald,0,0.7657413482666016,0.7455101609230042
A young puppy suckles from his mother.,A young puppy lays at it's mothers stomach.,2,1.0144121646881104,1.6436747312545776
